Text,Topic,Language
"Que coisa mais linda ♥️","art","PORTUGUESE "
"Que fofinho 😍😍❤️","art","PORTUGUESE "
"Iti malia","art","ROMANIAN "
"😻😻😻","art","ENGLISH "
"Woh! Nice work! Keep it up! 😁❤️💪","art","ENGLISH "
"Great!!","art","ENGLISH "
"💟 Love This! 💟","art","ENGLISH "
"Amazing caption!","art","ENGLISH "
"Perfectly👌❤️","art","ENGLISH "
"ok mood","art","ENGLISH "
"Ваааааау💙","art","SERBIAN "
"Вот это глубина... с нетерпением буду ждать готовую работу,но то что я вижу уже захватывает💜💜","art","RUSSIAN "
"wow! so much details","art","ENGLISH "
"Волшебные глаза 😍","art","RUSSIAN "
"Блин Че такие красивые цвета?😍","art","RUSSIAN "
"Я так не привыкла к голубаглазому чонгуку","art","RUSSIAN "
"I love this post❤️","art","ENGLISH "
"Hey! We love your feed and would love you to rep our brand. Send us a dm for details!","art","ENGLISH "
"OUSHHH THESEE DETAILSSSSS 💫💍💎","art","ENGLISH "
"🖤🖤🖤🖤💞💞💞😭😭 Omggg","art","NORWEGIAN "
"😍😍😍","art","ENGLISH "
"Niceee 😍","art","ENGLISH "
"You're so talented 😻 I mean your dancing is amazing and this is... Wow 🤩","art","ENGLISH "
"You really out here being this talented 🤧","art","ENGLISH "
"your drawing is beautiful, could you follow me and enjoy my last public please?","art","ENGLISH "
"DopestyleBrother👍💣","art","ENGLISH "
"💎💎💎","art","ENGLISH "
"Hey! Nice gallery you have 😊 I mean I liked it 👌","art","ENGLISH "
"Grande!!! 👊🏻🔥💣","art","PORTUGUESE "
"🙌🙌🙌","art","ENGLISH "
"💥🔥🌹","art","ENGLISH "
"🔥🔥🔥","art","ENGLISH "
"🚂🚃🚃🚃⛺️🧟‍♂️👋👋👊💣💥","art","ENGLISH "
"🤙🏻🤙🏻🤙🏻","art","ENGLISH "
"👊👊👊","art","ENGLISH "
"💛🧡💙❤️","art","ENGLISH "
"Bomba Mauri 🔥🔥🔥","art","ITALIAN "
"💥🔨","art","ENGLISH "
"🔥🔥🔥🔥","art","ENGLISH "
"Gataaaa ❤️","art","MAORI "
"Que Diva! Linda","art","SPANISH "
"Maravilhosaaaaaa❤️","art","PORTUGUESE "
"Liiindaaaa🎉","art","HAWAIIAN "
"Nice😍","art","ENGLISH "
"😍wow","art","ENGLISH "
"Hello! 😉 
We really like your photo and style and we would be interested to talk about you about collaboration opportunity. If you are interested please write me privately. 😊!!","art","ENGLISH "
"C’est hyper beau 🤩","art","FRENCH "
"Awesome","art","ENGLISH "
"❤️❤️❤️","art","ENGLISH "
"of course and you ?","art","ENGLISH "
"#mygrandmotherisbetterthanyours","art","ENGLISH "
"wow","art","ENGLISH "
"Would you mind posting more pictures of the pages? It's really beautiful. I wish I had someone so talented in my family 🙁","art","ENGLISH "
"Wawawaw elle etait trop talentueuse","art","FRENCH "
"💙🌻💙","art","ENGLISH "
"Stunning","art","ENGLISH "
"Woow","art","INDONESIAN "
"Whoa 🔥✨","art","ENGLISH "
"So pretty! I love the use of colors and silhouettes in this painting!","art","ENGLISH "
"Nice work :)","art","ENGLISH "
"🔝!","art","ENGLISH "
"Nice one","art","ENGLISH "
"🌿🍃🕊️✨ absolutely amazing✨🕊️🍃🌿🙏","art","ENGLISH "
"Beautiful!!","art","ENGLISH "
"MAGNIFIQUE ❤️🧡🖤","art","FRENCH "
"🌟🌟🌟","art","ENGLISH "
"#FACTS","art","ENGLISH "
"😮😮 Wow super sweet shot 🙂👌🔥🔥","art","ENGLISH "
