Text,Topic,Language
"🄼🄾🅂🄲🄾🅆 🄼🄰🄺🄴-🅄🄿 🄰🅁🅃🄸🅂🅃
Запись на макияж в директ или 📲8(916)8486202
#tyshevichmua #nadyatyshevich","Makeup","RUSSIAN "
"⠀
👩🏻 @diana.kevorkova -это Я🙈
⠀
🧖🏻‍♀️Уходовая и декоративная косметика
⠀
📩Direct & IMO:
+37494527775","Makeup","RUSSIAN "
"🔵Стилист-Визажист 
🔵Свадебный образ 
🔵Вечерний образ 
🔵Салон_ЕВРОШАРМ_
🔵г Кизилюрт,Гамзат Цадаса18
🔵Запись в Директ✍️💙#студиякрасоты","Makeup","SPANISH "
"🧡 Consultora #yanbal
👨‍👩‍👧‍👦 Productos para todos, cambiando vidas.
📝 #blog, consejos de #belleza y más.
📲 Wsp 304 6266753
🛍️ Tienda Online 👇","Makeup","ENGLISH "
"Personal account —> @_therealsarebear_","Makeup","POLISH "
"18
Makeup 💄
Włocławek/Łódź 👣
Snapchat: dominiczkaax3 👻 
E-mail: dbiermanowska@gmail.com","Makeup","POLISH "
"📚UWM
🏡Olsztyn
🎉26.07","Makeup","RUSSIAN "
"📍Надя БУРЕРОЖДЕННАЯ
📍Рисую нежность
📍Дарю уверенность
📍Учусь вдохновлять
💬Пиши в Директ, WhatsАрр +79615379945","Makeup","RUSSIAN "
"-whatsapp 849 880 6060
-Dominican republic
-Santiago
-Makeup ARTIST
-Miss Fogo supreme 2019 stgo 
-reina del orgullo pride 2018 (Santiago)","Makeup","ENGLISH "
"Los Angeles | New York | A Premiere Agency Representing Hair • MakeUp • Grooming • Styling • Manicurist • Colorist #traceymattinglyagency","Makeup","ENGLISH "
"Sarah Ferré 🇮🇹 🇵🇱
Łódź/Radom 
07.01.
Go dm, xoxo.","Makeup","SPANISH "
"2️⃣2️⃣
📍ATX
✂️hairstylist 
🎨makeup junkie
👶🏼7-24-1996","Makeup","PORTUGUESE "
"Ateliê Sabrina Martins 👩🏼‍🎨
• Maquiagem e penteado
• Cursos 
• Dia da noiva e debutante 
• Itajaí -Sc
Para contato clicar abaixo no link do whattsapp","Makeup","ENGLISH "
"📍 Poland
#makeup lover 🎨","Makeup","DUTCH "
"19|made in Poland, Włocławek 🇵🇱
Collabo:daria.henkie@op.pl or DM
Art account: @sleeppyartist
YouTube: Daria Henkie","Makeup","DUTCH "
"Makeup for real women! 
💄Depto Comercial e vendas ⤵️
📲 (99) 98418-8957 / ‭(99) 98832-2208‬
📩contato@ninabatom.com.br 
#ninamkup #ninabatom","Makeup","PORTUGUESE "
"💄Aspiring Makeup Artist 🙏🏻
🐰Cruelty-Free (we love and respect animals here)
▪️20yo 
📍France 
✉️ marieparmentier885@gmail.com","Makeup","ENGLISH "
"📌 Cottbus|Saint Tropez 
🤾🏽‍♀️ @lhccottbusfrauen
🌸 makeup/sports/food","Makeup","ENGLISH "
"📩 m.i.beauty11@gmail.com
CEO @championslash  
❣️ Sweden/Poland","Makeup","ENGLISH "
"🤡Queen of Clowns🤡
👑Cosplayer👑
🎨Makeup Artist🎨
🇵🇱Poland🇵🇱","Makeup","RUSSIAN "
"Папа - велосипедный барон 🚲 
Мама - пустите меня на танцпол 💃
Артем - коллекционер LEGO 👾
Алисия - самая танцующая малышка инстаграма 🎀","Makeup","RUSSIAN "
"📷 Photomodel
  collab ➡️ DM 
📸 Photographer
🌍 Traveler 
👻 oliiwkax3
💍 @pulkowskyy 💘
    01.01.2015💑❤️
Teledysk z Dominikany⬇️😍","Makeup","ENGLISH "
"Allyssa DiGiovancarlo 🇮🇹
• #MUA & Educator🎨💄
• #MakeupByMario Certified
• BRIDES - EMAIL TO BOOK📩
• CT, NY, MA, RI, and beyond
• Lessons available📝","Makeup","ENGLISH "
"💄 Maquiadora 
❣️AirBrush 
👰 Noivas 
🎓 Cursos Profissionais e Workshops  
🇧🇷Porto Alegre,Brasil 
📍Informações pelo whats 51984686043, link 
👇🏻👇🏻👇🏻","Makeup","PORTUGUESE "
"california girl • romi’s mama 
≫ san francisco 
≫ arianalaurenblog@gmail.com","Makeup","POLISH "
"🌸 Instablogger #influencer #lifestyleblogger 
Bielsko-Biała/Poland 🇵🇱 
⭐️Współpraca Collab : DM 📥
💌adagaura@gmail.com
My dog : @edo_samoyed 🐶❤️","Makeup","POLISH "
"▫️Professional Makeup Artist 
▫️Fashion | Ecom | Bridal
▫️MAC trained artist
💌 bethcairn@icloud.com
📍Kent | London","Makeup","RUSSIAN "
"𝐀𝐋𝐄𝐍.𝐒
• 🎬Продюсер RoX.Production @rox.production 
• Ведущий стилист-визажист
модельного проекта @_posing_
📲 +𝟕(𝟗𝟑𝟖)𝟑𝟎𝟔 𝟗𝟖 𝟔𝟎
🔻Напиши мне в WhatsApp 🔻","Makeup","RUSSIAN "
"📍Bay Area, CA • Mother of 4 • Beauty • Health • Fitness • Lifestyle • Cooking • Family • Fashion • LipSense distributor #590007 
Collabs email me!","Makeup","RUSSIAN "
